file,noun,dialogue,summary
train.csv,이 시간대에,"#Person1#: 안녕하세요, 택시 기사님. 금융가로 가주세요.
#Person2#: 금융가로 가신다고요?
#Person1#: 네, 거기로 가고 싶습니다.
#Person2#: 알겠습니다. 타세요.
#Person1#: 죄송하지만, 거기까지 얼마나 걸리나요?
#Person2#: 보통 30분 정도 걸려요.
#Person1#: 아, 꽤 멀군요.
#Person2#: 네, 이 시간대에는 교통 때문에 더 걸릴 수도 있어요. 급하신가요?
#Person1#: 아니요, 천천히 안전하게 가주세요.
#Person2#: 알겠습니다.
#Person1#: 운전 정말 잘하시네요.
#Person2#: 감사합니다.
#Person1#: 그런데 요금은 거리마다 같은가요?
#Person2#: 아니요, 거리에 따라 달라요. 미터기로 확인하실 수 있습니다.
#Person1#: 아, 그렇군요.","#Person1#은 금융가로 가기 위해 택시에 탑니다. #Person2#는 금융가까지 가는 데 시간이 걸릴 수 있고, 요금은 거리마다 다르다고 설명합니다."
train.csv,이 시간대에,"#Person1#: 저기요, 여기서 박물관 가는 버스를 탈 수 있나요?
#Person2#: 네, 맞는 정류장이에요.
#Person1#: 감사합니다.
#Person2#: 여기 처음 오셨나 봐요?
#Person1#: 네, 맞아요.
#Person2#: 잔돈 있으세요? 정확한 요금이 필요해요.
#Person1#: 네, 동전 좀 가지고 있어요. 요금이 얼마예요?
#Person2#: 1위안이에요. 버스 앞쪽에서 타실 때 돈을 상자에 넣으시면 돼요.
#Person1#: 아, 알겠어요. 이 시간대에는 버스가 얼마나 자주 오나요?
#Person2#: 10분마다 한 대씩 와요. 아, 저기 버스 오네요.","#Person1#과 #Person2#가 버스를 기다리며 대화를 나누는 가운데, #Person2#가 #Person1#에게 잔돈이 있는지 묻습니다."
train.csv,이 시간대에,"#Person1#: 버스를 타고 왕푸징에 가자.
#Person2#: 지하철 타는 게 더 나을 거야. 더 빠르고 편리하거든.
#Person1#: 그래, 그럼 새로운 경험이겠네.
#Person2#: 여기 지하철 시스템이 꽤 잘 되어 있어. 특히 이 시간대에는 교통이 복잡하니까 지하철이 더 빨리 갈 수 있지.
#Person1#: 요금은 어디에서 내나요?
#Person2#: 저기 있는 판매기에서 3위안을 내면 토큰을 받을 수 있어. 그걸 개찰구에 넣고 들어가면 돼.
#Person1#: 내가 낼게. 지하철 노선도는 어디서 구할 수 있어?
#Person2#: 판매기 근처에 물어보면 공짜로 줄 거야. 사실 대부분의 역에 지하철 노선도가 게시되어 있어.
#Person1#: 환승할 때 추가 요금을 내야 해?
#Person2#: 아니, 안 내도 돼. 여기 지하철 오네.","#Person2#가 왕푸징까지 지하철을 타는 것이 더 빠르고 편리하다고 제안하고, #Person1#에게 요금 지불 방법과 지하철 노선도 구하는 방법을 설명합니다."
train.csv,이 프로젝트,"#Person1#: 좋아요. 이 프로젝트에 모두 함께 하고 싶어요. 언제 시작할 수 있나요?
#Person2#: 내일 아침 8시에 전략 회의를 시작하면 될 것 같아요.
#Person1#: 그런데 8시는 저한테 좀 어려운데, 여러분 먼저 시작하세요. 저는 8시 45분쯤에 갈게요.
#Person2#: 그럼 괜찮아요. 이 작업하는데 얼마나 시간이 걸릴까요?",#Person2#는 #Person1#에게 내일 아침 프로젝트 전략 회의를 8시에 시작하자고 제안합니다. #Person1#은 8시 45분쯤 도착할 예정입니다.
train.csv,이 프로젝트,"#Person1#: 도와드릴 일 있나요?
#Person2#: 네, 감사합니다. 제가 이 프로젝트 정말 많이 밀렸어요. 추가로 타이핑이나 복사 좀 도와줄 수 있으세요?
#Person1#: 둘 중 하나는 할 수 있어요.
#Person2#: 좋아요. 그럼 정말 도움이 될 거예요. 저쪽에 있는 페이지들부터 시작해 줄래요?
#Person1#: 문제없어요.
#Person2#: 정말 감사합니다! 여기서 얼마나 일하셨어요?
#Person1#: 여기서 5년 일했어요.
#Person2#: 곧 특별한 프로젝트들이 좀 있는데, 그중 하나에 참여하고 싶으세요?
#Person1#: 네, 특별 프로젝트에 참여하고 싶어요!
#Person2#: 그럼, 제가 소식 전해드릴게요. 오늘 도와주셔서 감사합니다.","#Person2#가 #Person1#에게 프로젝트 진행의 도움을 요청합니다. #Person1#은 기꺼이 도와주겠다고 하며, 특별 프로젝트에도 관심을 보입니다. #Person2#는 후에 #Person1#에게 관련 소식을 전해줄 예정입니다."
train.csv,이 프로젝트,"#Person1#: 기분이 좋아 보이지 않는데, 무슨 일 있어?
#Person2#: 컴퓨터 과제 때문이야. John이랑 같이 프로젝트 하기로 했는데, 아직 절반밖에 못 했어.
#Person1#: 빨리 해야겠네.
#Person2#: 그러게. 그런데 John이 아무것도 안 하고 있어. 뭐라고 말해야 할지 모르겠어. 걔 부모님 문제 때문에 요즘 많이 속상해하고 있어.
#Person1#: 그래도 네 일만큼 그의 일도 되는 거잖아. 그한테 얘기해보고, 같이 일하라고 알려주는 게 좋을 것 같아.
#Person2#: 맞아. 일 좀 나눠서 해야겠어.",#Person2#는 John과 함께 팀을 이루어 컴퓨터 과제를 하고 있지만 John이 개인적인 문제로 작업에 참여하지 않고 있다. #Person1#은 #Person2#에게 John과 대화하여 일의 분담을 명확히 하라고 조언한다.
train.csv,이 도시에서,"#Person1#: 택시! 아, 고마워요, 세워주셔서. 
#Person2#: 어디로 가세요? 
#Person1#: 국립미술관이요. 그리고... 
#Person2#: 좋아요. 타세요, 문제없어요. 잠시만요! 
#Person1#: 저기, 거기까지 얼마나 걸릴까요? 
#Person2#: 음, 교통 상황에 따라 다르지만, 보통은 20분 넘지 않을 거예요. 저는 운전을 예술처럼 해서 15분 내에 도착할 수 있을 거예요. 
#Person1#: 알겠어요. 그런데 요금은 얼마나 나올까요? 
#Person2#: 18달러 안 넘을 거예요. 팁은 별도예요. 
#Person1#: 아, 그 미술관 몇 시에 닫는지 아세요? 
#Person2#: 아마 6시쯤일 거예요. 
#Person1#: 지금 몇 시죠? 
#Person2#: 4시 반이에요. 이 도시에 처음 오셨죠? 
#Person1#: 네, 어떻게 아셨어요? 
#Person2#: 이 도시에서는 관광객들이 고층 건물만 쳐다보고 다니는 게 눈에 띄어요. 
#Person1#: 그렇게 티가 나나요? 
#Person2#: 네... 
#Person1#: 아, 까먹기 전에, 시내에 괜찮은 가격으로 식사할 수 있는 좋은 레스토랑 추천해 줄 수 있나요? 
#Person2#: 멕시칸 레스토랑, 라 파히타가 좋아요. 다른 곳보다는 저렴하지 않지만, 인테리어가 정통적이고 양도 많아요. 
#Person1#: 좋네요! 미술관에서 거기까지 어떻게 가나요? 
#Person2#: 미술관 바로 밖에서 지하철을 탈 수 있어요. 버스도 있지만 몇 번 환승해야 해요. 택시는 미술관 주변에서는 자주 다니지 않아요. 
#Person1#: 알겠어요. 고마워요.","#Person1#는 택시를 타고 국립미술관에 가고 싶어 하며, #Person2#에게 소요 시간, 요금, 미술관 운영 시간을 묻습니다. 이어서 #Person1#는 #Person2#에게 레스토랑 추천과 경로를 문의합니다."
train.csv,이 도시에서,"#Person1#: 아파트 알아보려면 어디서 시작해야 할까? 
#Person2#: 우리 학교 웹사이트에 아파트 관련 링크가 있어. 
#Person1#: 다른 사람이랑 아파트 같이 살 수 있어? 
#Person2#: 신문에 나오는 광고 중엔 룸메이트 구하는 것도 있어. 
#Person1#: 이 도시에서 아파트 비싸니? 
#Person2#: 혼자 쓸 아파트를 찾는 거야, 아니면 두 명이서 같이 살 아파트를 찾는 거야? 
#Person1#: 방 두 개 있는 아파트를 원해. 
#Person2#: 그런 아파트는 한 달에 약 천오백 달러면 구할 수 있어. 
#Person1#: 나랑 아파트 보러 갈 시간 있어? 
#Person2#: 나도 아파트 찾는 거 좋아해. 같이 가줄게.","#Person2#는 #Person1#에게 학교 웹사이트에서 아파트 정보를 확인하라고 조언하고, 아파트를 보러 같이 가기로 한다."
train.csv,이 도시에서,"#Person1#: 저기요, 버스 노선도 받을 수 있을까요?
#Person2#: 이 도시에서 사용하실 건가요?
#Person1#: 네, 뉴욕에서요.
#Person2#: 죄송하지만 저희는 가지고 있지 않습니다. 신문 가판대에 가보시면 있을 거예요.
#Person1#: 감사합니다.",#Person2#는 #Person1#에게 신문 가판대에서 버스 노선도를 구입할 것을 권합니다.
train.csv,이 프로그램,"#Person1#: 저기요, 동물원 가는 길 좀 알려주시겠어요?
#Person2#: 네, 여기서 길만 건너면 바로 있어요.
#Person1#: 고마워요. 그런데, 영어를 그렇게 잘하게 된 비결이 뭐예요?
#Person2#: 매일 BBC 영어 프로그램을 듣고 있어요.
#Person1#: 따라하기 쉬워요?
#Person2#: 네, 단파 라디오로 듣고, 문법이 어렵게 느껴질 때는 중국어 설명도 나와요.
#Person1#: 그거 정말 유용하겠네요. 이 프로그램 얼마나 들으셨어요?
#Person2#: 중학교 때부터 시작해서, 3년 됐어요.
#Person1#: 정말 많이 늘었네요.
#Person2#: 감사합니다. 동물원에서 좋은 시간 보내세요. 판다들 꼭 보세요!
#Person1#: 알겠습니다. 고마워요. 나중에 봐요.",#Person2#는 3년 전부터 매일 BBC 영어 프로그램을 들으며 영어 실력을 향상시켰습니다.
